Place	Name	Participation	Score
1	beneficial	11	276
2	extended_landfowl	11	276
3	shallow_anglerfish	11	276
4	random_lizard	11	276
5	graceful_magpie	11	276
6	renewed_clam	11	276
7	elegant_fowl	11	276
8	steep_hornet	11	276
9	magic_silkworm	11	276
10	quickest_toucan	11	276
11	above_quelea	11	276
12	primary_shrew	11	276
13	real_leech	11	276
14	central_junglefowl	11	276
15	probable_shrimp	11	276
16	broken_canidae	11	276
17	external_bobolink	11	276
18	senior_meerkat	11	276
19	drunk_earthworm	11	276
20	hot_ocelot	11	276
21	dreadful_cockroach	11	276
22	strong_jaguar	11	276
23	gigantic_firefly	11	276
24	premier_wildcat	11	276
25	juicy_landfowl	11	276
26	rich_elk	11	276
27	cultural_kiwi	11	276
28	precious_scallop	11	276
29	shivering_catshark	11	276
30	yappiest_constrictor	11	276
31	ridiculous_vole	11	276
32	continuing_hamster	11	276
33	drunk_squid	11	276
34	informal_albatross	11	276
35	registered_partridge	11	276
36	metropolitan_manatee	11	276
37	prickly_canidae	11	276
38	universal_sawfish	11	276
39	expensive_salamander	11	276
40	scrawny_rat	11	276
41	medieval_catfish	11	276
42	visual_squirrel	11	276
43	ridiculous_viper	11	276
44	bumpy_gamefowl	11	276
45	wispy_crane	11	276
46	tropical_lizard	11	276
47	impossible_tick	11	276
48	underground_mammal	11	276
49	lucky_ox	11	276
50	smiling_carp	11	276
51	plum_caterpillar_tropical	11	276
52	fire5.bnb	11	275
53	AptosBot	11	275
54	kasia	11	275
55	anrewrus	11	275
56	painful	11	266
57	stuck_capybara	11	266
58	perfect_weasel	11	266
59	excited_mole	11	266
60	planned_weasel	11	266
61	different_marlin	11	266
62	dead_cattle	11	266
63	independent_caribou	11	266
64	scared_seahorse	11	266
65	pure_locust	11	266
66	hissing_narwhal	11	266
67	clinical_lemur	11	266
68	blank_jay	11	266
69	wise_skink	11	266
70	intact_capybara	11	266
71	select_coyote	11	266
72	present_firefly	11	266
73	combative_snake	11	266
74	weird_bee	11	266
75	musical_ladybug	11	266
76	huge_seahorse	11	266
77	ltd_junglefowl	11	266
78	zygotic_beetle	11	266
79	adjacent_moth	11	266
80	urgent_moose	11	266
81	creative_blackbird	11	266
82	given_capybara	11	266
